PKI,Variant,Distributed,Subscribe,Cache,Firewall,Attack Origin,Revocation Origin,Message Time,message_time,firewall,delivered_count,delivered_ratio,delivered_count_earth,delivered_count_moon,delivered_count_mars,latency_dropped_min,latency_dropped_max,latency_dropped_mean,latency_dropped_std,latency_accepted_min,latency_accepted_max,latency_accepted_mean,latency_accepted_std,delivered_ratio_earth,delivered_ratio_moon,delivered_ratio_mars
OCSP,--,\cmark,,,,Mars,Earth,3200,3200,False,12,4.28571428571428,0,0,12,3729.356850353896,3730.703656966013,3729.444572293038,0.2723368163154583,0.0327450831964597,10.07520265863559,1.737878473187531,3.725816636471876,0.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Earth,12100,12100,False,12,4.28571428571428,0,0,12,3649.355583334993,3650.715455292048,3649.449087968558,0.2741953272346861,0.0195337619588826,0.1224592810776812,0.0690027778896364,0.0279647253909893,0.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Earth,16000,16000,False,12,4.28571428571428,0,0,12,1259.371172839743,1265.1346123276053,1259.5693353383094,0.4255001874797612,0.0291689720816066,5.055972857802772,0.4846300193568519,1.3785106332947528,0.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Earth,34700,34700,False,12,4.28571428571428,0,0,12,1259.3897595126837,2965.07227257728,1326.2135154350988,304.8378943485188,0.044737219439412,0.0918631374734104,0.0770058422246317,0.0131327753681551,0.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Moon,3200,3200,False,12,4.28571428571428,0,0,12,3729.356850353896,3730.703656966013,3729.444572293038,0.2723368163154583,0.0327450831964597,10.07520265863559,1.737878473187531,3.725816636471876,0.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Moon,12100,12100,False,12,4.28571428571428,0,0,12,3649.355583334993,3650.715455292048,3649.449087968558,0.2741953272346861,0.0195337619588826,0.1224592810776812,0.0690027778896364,0.0279647253909893,0.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Moon,16000,16000,False,12,4.28571428571428,0,0,12,1259.371172839743,1265.1346123276053,1259.5693353383094,0.4255001874797612,0.0291689720816066,5.055972857802772,0.4846300193568519,1.3785106332947528,0.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Moon,34700,34700,False,268,95.71428571428572,256,0,12,2711.305761174066,2965.07227257728,2732.4709255661546,70.13194513866038,0.044737219439412,1270.1263323226303,1203.8675190295496,260.64323645446046,100.0,0.0,100.0
OCSP,--,\cmark,,,,Mars,Mars,3200,3200,False,1,0.35714285714285005,0,1,0,0.0327450831964597,3730.703656966013,3569.108664982887,756.2815323719458,3730.682385986789,3730.682385986789,3730.682385986789,0.0,0.0,8.33333333333333,0.0
OCSP,--,\cmark,,,,Mars,Mars,12100,12100,False,4,1.42857142857142,1,0,3,0.0553695577455073,3650.715455292048,3530.448312361198,648.1648622626756,0.0195337619588826,3649.355583334993,912.362349304388,1580.203780455756,0.390625,0.0,25.0
OCSP,--,\cmark,,,,Mars,Mars,16000,16000,False,26,9.285714285714281,18,8,0,0.0291689720816066,1265.1346123276053,1200.061272351813,267.1232347848253,1259.371172839743,1260.7141490341237,1259.8013174437958,0.5983551205350197,7.03125,66.66666666666666,0.0
OCSP,--,\cmark,,,,Mars,Mars,34700,34700,False,0,0.0,0,0,0,0.044737219439412,2965.07227257728,1269.379093595404,401.35226821333913,,,,,0.0,0.0,0.0
