Constellation,PKI,Variant,Dropped (%),Latency Min (s),Latency Max (s),Latency Mean (s),Latency Std (s),Establishment Overhead Max (s),Establishment Overhead Mean (s),Establishment Overhead Std (s),Total Hops Min,Total Hops Max,Total Hops Mean,Total Hops Std
LEO/LEO,OCSP,--,0.0,0.004351157676524053,0.221249703479657,0.11861653950902676,0.036334415060028644,0.14922893232494516,0.08423055825206076,0.03223038913726516,2,177,39.92829350490196,27.325518789440085
LEO/LEO,OCSP,Stapling,0.0,0.004351157676524053,0.22236729484950502,0.11863159300596773,0.03634375302195072,0.14923021763388533,0.08423997381135602,0.03223964795091377,2,177,40.27628676470588,27.531810059313344
LEO/LEO,OCSP,Validator,0.0,0.004351157676524053,0.1491833799076403,0.08457479990931081,0.02249495002345049,0.07383006582392682,0.033175965455871634,0.013167339059829513,2,176,42.50736825980392,26.85483330165351
LEO/LEO,CRL,--,0.0,0.004351157676524053,0.15458644875832306,0.09076654634465961,0.029676187730894935,0.14922893232483148,0.05638056508769362,0.032187598726562,2,177,40.116528799019605,27.405119746635318
LEO/LEO,CRL,Broadcast,0.0,0.0037520659013807744,0.07597273893713918,0.034385981256965986,0.015746839233634187,0.0,0.0,0.0,2,67,11.804028799019608,10.372464201416825
LEO/MEO,OCSP,--,0.0,0.009541859870068947,0.2587949271837715,0.14156627010337394,0.04326200005302997,0.17015193108386484,0.10007998579542876,0.03612974530541061,2,28,15.885569852941176,3.9654082759662974
LEO/MEO,OCSP,Stapling,0.0,0.009541859870068947,0.2587990607668189,0.14158801974799107,0.043272669238149764,0.1701489150910902,0.10008803722255068,0.036128060932287105,2,28,15.929764093137255,3.918780051179668
LEO/MEO,OCSP,Validator,0.0,0.009541859870068947,0.16608285047539084,0.10048212479715184,0.02515761669399688,0.08100783624047381,0.04000228151009641,0.014868468203854924,2,27,16.24436274509804,3.646683844338365
LEO/MEO,CRL,--,0.0,0.009541859870068947,0.18240655678994244,0.109357381381984,0.03459923642358064,0.1701486322922392,0.06787109707403882,0.03596747054550403,2,28,15.928094362745098,3.9210300763855526
LEO/MEO,CRL,Broadcast,0.0,0.005670101258147042,0.08864550610383048,0.04148628430794519,0.01897836317492317,0.0,0.0,0.0,2,11,5.084344362745098,1.9434064650057956
LEO/GEO,OCSP,--,0.0,0.009541859870068947,0.2587949271837715,0.14158800043815237,0.04329479922572055,0.17015193108386484,0.10007998507543726,0.036129744846586376,2,28,15.933609068627451,3.999724752136584
LEO/GEO,OCSP,Stapling,0.0,0.009541859870068947,0.2587990607668189,0.14160974443775964,0.04330543569540974,0.1701489150910902,0.10008803722255068,0.036128060932287084,2,28,15.977987132352942,3.9531047663717045
LEO/GEO,OCSP,Validator,0.0,0.009541859870068947,0.16608285047539084,0.10048212479715184,0.02515761669399669,0.08100783624047381,0.04000228151009641,0.014868468203854937,2,27,16.24436274509804,3.6466838443383773
LEO/GEO,CRL,--,0.0,0.009541859870068947,0.18240655678994244,0.109357381381984,0.034599236423580794,0.1701486322922392,0.0678493660192689,0.03595948074924415,2,28,15.976133578431373,3.955215089838637
LEO/GEO,CRL,Broadcast,0.0,0.005670101258147042,0.08864550610383048,0.0415080153627151,0.01900782816750441,0.0,0.0,0.0,2,11,5.132383578431373,1.93392570839363
LEO/MEO/GEO,OCSP,--,0.0,0.009541859870068947,0.2587949271837715,0.14156627010337394,0.04326200005303011,0.17015193108386484,0.10007998579542876,0.0361297453054103,2,28,15.885569852941176,3.9654082759662956
LEO/MEO/GEO,OCSP,Stapling,0.0,0.009541859870068947,0.2587990607668189,0.14158801974799107,0.04327266923814962,0.1701489150910902,0.10008803722255068,0.036128060932287154,2,28,15.929764093137255,3.9187800511796813
LEO/MEO/GEO,OCSP,Validator,0.0,0.009541859870068947,0.16608285047539084,0.10048212479715184,0.025157616693996906,0.08100783624047381,0.04000228151009641,0.014868468203854974,2,27,16.24436274509804,3.6466838443383685
LEO/MEO/GEO,CRL,--,0.0,0.009541859870068947,0.18240655678994244,0.109357381381984,0.0345992364235808,0.1701486322922392,0.06787109707403882,0.035967470545503845,2,28,15.928094362745098,3.9210300763855477
LEO/MEO/GEO,CRL,Broadcast,0.0,0.005670101258147042,0.08864550610383048,0.04148628430794519,0.01897836317492311,0.0,0.0,0.0,2,11,5.084344362745098,1.9434064650057812
