PKI,Variant,Distributed,Start Time,Dropped (%),Latency Min (s),Latency Max (s),Latency Mean (s),Latency Std (s),Establishment Overhead Max (s),Establishment Overhead Mean (s),Establishment Overhead Std (s),Total Hops Min,Total Hops Max,Total Hops Mean,Total Hops Std
OCSP,Stapling,,16000,4.270353302611367,0.00957695290526317,1264.5529907813143,54.868980514640036,255.91584265278055,5.137896230909973,0.28872275988355256,0.8037415998998308,2,51,17.85403294822422,5.726801797196208
OCSP,Stapling,,34700,8.18484383000512,0.011477971245767549,3790.707331034806,186.534619942866,639.6092965918798,2530.015373297181,10.016446291296226,157.19577119676788,2,48,16.341703148091348,4.691925827263106
OCSP,Stapling,\cmark,3200,7.491039426523298,0.005874888843663939,3730.698574336735,30.425978167897004,332.7229405332143,10.115995479741287,0.1646229275287067,0.8533010902578307,2,32,15.883682957879007,3.915858206449515
OCSP,Stapling,\cmark,12100,7.476958525345623,0.0072617546502442565,3650.708875892251,140.36469611192047,481.7375277597931,230.06360086818677,1.013317986579707,14.187802665735974,2,32,16.047551847701268,3.8733826452916875
OCSP,Stapling,\cmark,16000,0.0,0.006978526977036381,1265.740173956583,104.08611810809222,346.1737229453504,5.137896230909973,0.18068002480524534,0.6613592328032845,2,36,17.091333845366105,4.519769060135661
OCSP,Stapling,\cmark,34700,0.15488991295442908,0.007677888897887897,3985.0106598342827,320.2322727744956,790.4650798888786,10.137688013361185,0.19587583290545668,1.026317373638158,2,33,16.290785779304862,4.4760727953380535
OCSP,Validator,,3200,4.1013824884792625,0.005874888843663939,4988.750014904779,169.8312035196637,783.7908136419205,1259.3931645508837,2.264388956852901,52.8155097656939,2,42,17.034585402317262,4.861289432092071
OCSP,Validator,,12100,3.9170506912442393,0.011423664611356799,4908.745111409156,281.1362107052749,837.9945915512834,1296.3290537682406,4.769063663301518,77.39950559331226,2,38,17.222075672795096,4.3697088440652845
OCSP,Validator,,16000,0.0,0.00957695290526317,2518.7845034644633,108.29409767489368,360.0167386573744,1259.3898323996,2.1823872288680484,51.72255591187081,2,41,18.667229902713775,5.499135933903345
OCSP,Validator,,34700,0.0,0.011477971245767549,3984.388143339187,334.7948939345763,814.0032841741694,1273.0375627714893,6.995446823221327,92.48049523351688,2,48,18.30400665642601,6.579188385432743
OCSP,Validator,\cmark,3200,7.491039426523298,0.005874888843663939,3730.698574336735,30.283978239065192,332.7341737015021,10.057999660076803,0.03831025256386017,0.09523747022448213,2,29,15.869209055183484,3.6087137451758338
OCSP,Validator,\cmark,12100,7.476958525345623,0.0072617546502442565,3650.708875892251,140.25582900818426,481.76880824409534,230.03180050504307,0.8895750610139719,13.927009349362876,2,28,16.22674635786328,3.6155887486326184
OCSP,Validator,\cmark,16000,0.0,0.006978526977036381,1265.7296204507911,104.04694483028089,346.1707347890045,5.068949664111642,0.06002809835604272,0.32786533179837724,2,32,17.53084997439836,4.404884662629947
OCSP,Validator,\cmark,34700,0.15488991295442908,0.007677888897887897,3985.0106598342827,320.1404092854274,790.4909578737902,10.068846103247779,0.04661744329440112,0.31682979049141446,2,36,16.740958217413045,4.718721025978734
OCSP,Hybrid,\cmark,3200,3.745519713261649,0.005874888843663939,3730.698574336735,174.35421333124586,786.1894867558666,10.115995479741287,0.15332458287848505,0.8198795487926243,2,38,15.780235125142964,3.926816094001554
OCSP,Hybrid,\cmark,12100,3.745519713261649,0.0072617546502442565,3650.708875892251,276.3954038748476,825.7759460454994,230.06360086818677,0.9363501346972966,13.630580863973618,2,41,15.953706412745698,4.018677968202338
OCSP,Hybrid,\cmark,16000,0.0,0.006978526977036381,1264.4340718717722,104.05544208224615,346.10108685019475,5.137896230909973,0.15179956426124436,0.5741542031177083,2,38,16.57884024577573,4.281470265376897
OCSP,Hybrid,\cmark,34700,0.0,0.007677888897887897,3985.0106598342827,325.8783803228533,802.7898071587827,253.73397436126834,1.0111843802688707,14.497074650114037,2,34,15.749231950844854,4.272408931417346
CRL,--,,3200,0.0,0.005874888843663939,4988.750014904779,367.63199521078144,1225.7402893091457,4988.74250820507,60.23905080682281,321.6713137177091,2,49,17.755824372759857,6.515470385387913
CRL,--,,12100,0.0,0.011423664611356799,4908.745111409156,464.8470816699469,1224.1023085186114,4908.733435436636,62.20730842402249,323.3995059924492,2,45,17.660035842293908,5.726697061034798
CRL,--,,16000,0.0,0.00957695290526317,2518.799285365709,159.94719219163812,557.5718101722758,2518.783986953571,56.057424883300655,269.46052310802867,2,51,18.56362007168459,6.587396616943126
CRL,--,,34700,0.0,0.011477971245767549,3985.0106598342827,384.54392211440955,902.8483608076878,2964.9954483452893,58.83180567496144,288.48740167767204,2,53,18.079646697388633,7.432584604031899
CRL,--,\cmark,3200,15.085765488991296,0.005876480439383158,6248.097508735051,40.142380172380726,455.1623362788479,2518.735695614948,9.798243220945372,155.85921723338532,6,43,15.932479083440114,4.113483088012707
CRL,--,\cmark,12100,15.085765488991296,0.0072617546502442565,6168.078409890175,49.447553227099384,461.5371570719857,2518.71717132945,9.781000625071034,155.85802080887666,6,39,16.14227783221527,3.9626523655255834
CRL,--,\cmark,16000,15.085765488991296,0.006978526977036381,3778.0584894886524,20.071428361978025,247.31516067883996,2518.7072516495064,9.804611695293652,155.8480437329372,6,45,16.743951157006105,4.339199827756341
CRL,--,\cmark,34700,15.085765488991296,0.007677888897887897,3985.0106598342827,41.862442880150354,346.63269752311567,2518.782914202966,9.829252685082158,155.8522631788782,6,51,16.054420743197408,4.7787789644875724
CRL,Broadcast,,3200,0.0,0.005257884263301094,3730.698574336735,307.3929444039586,1025.0222797073889,0.0,0.0,0.0,2,23,6.173681515616999,3.0121246753829336
CRL,Broadcast,,12100,0.0,0.0053636455013474915,3650.708875892251,402.6397732459244,1032.776621451103,0.0,0.0,0.0,2,24,6.063607270865336,3.0421602091219078
CRL,Broadcast,,16000,0.0,0.0054469143724418245,1264.4340718717722,103.88976730833747,346.14918120753407,0.0,0.0,0.0,2,23,6.099334357398874,3.1152073805536302
CRL,Broadcast,,34700,0.0,0.005328283761627972,3985.0106598342827,325.7121164394481,802.8563191728339,0.0,0.0,0.0,2,21,5.851075268817205,2.8100637166890934
CRL,Broadcast,\cmark,3200,15.083205325140808,0.005257884263301094,3730.698574336735,31.018077818101577,337.2351090892513,0.0,0.0,0.0,2,31,10.800036178904683,2.8383562636574844
CRL,Broadcast,\cmark,12100,15.083205325140808,0.0053636455013474915,3650.708875892251,40.55652165081122,348.48539693081653,0.0,0.0,0.0,2,32,10.698735245790434,2.7292341424966597
CRL,Broadcast,\cmark,16000,15.083205325140808,0.0054469143724418245,1264.4222541241397,10.494478436823345,113.89010654870613,0.0,0.0,0.0,2,31,10.697544356844597,2.7266128550338222
CRL,Broadcast,\cmark,34700,15.083205325140808,0.005328283761627972,3985.0106598342827,32.754315727184405,271.3612144978081,0.0,0.0,0.0,2,29,10.546060268025386,2.6708264507185544
